LANG_ID,CLASS_ID,CLIENT_ID,MATTER_NO,CASEINFO_NO,TK_CODE,DEF_RATE,ASSIGNED_RATE,RATE_UNIT,STATUS_ID,Isdeleted,CTD_BY,CTD_ON
EN,1,53956,9086-211,888888,DNR,450,425,$,26,0,admin,5/22/2022
EN,2,8642,8414-191,888888,DNR,450,360,$,26,0,admin,5/22/2022
EN,1,53925,9277-221,888888,DNR,450,375,$,26,0,admin,5/22/2022
EN,1,50913,5871-201,888888,DNR,450,325,$,26,0,admin,5/22/2022
EN,1,50822,9067-211,888888,DNR,450,325,$,26,0,admin,5/22/2022
EN,1,53912,9133-211,888888,DNR,450,375,$,26,0,admin,5/22/2022
EN,1,50008,9296-221,888888,DNR,450,385,$,26,0,admin,5/22/2022
EN,1,50807,9171-211,888888,DNR,450,350,$,26,0,admin,5/22/2022
EN,1,51054,9102-221,888888,DNR,450,400,$,26,0,admin,5/22/2022
EN,1,51042,9067-211,888888,DNR,450,385,$,26,0,admin,5/22/2022
EN,1,50822,9243-211,888888,DNR,450,325,$,26,0,admin,5/22/2022
EN,1,50948,9289-221,888888,DNR,450,350,$,26,0,admin,5/22/2022
EN,1,53927,9127-211,888888,DNR,450,325,$,26,0,admin,5/22/2022
EN,1,51089,9314-221,888888,DNR,450,350,$,26,0,admin,5/22/2022
EN,1,50555,9113-211,888888,DNR,450,300,$,26,0,admin,5/22/2022
EN,1,50963,9277-221,888888,DNR,450,300,$,26,0,admin,5/22/2022
EN,1,52653,9105-211,888888,DNR,450,400,$,26,0,admin,5/22/2022
EN,1,50807,9124-211,888888,DNR,450,350,$,26,0,admin,5/22/2022
EN,1,50723,9126-211,888888,DNR,450,425,$,26,0,admin,5/22/2022
EN,1,51054,9132-211,888888,DNR,450,300,$,26,0,admin,5/22/2022
EN,1,53965,9132-211,888888,DNR,450,375,$,26,0,admin,5/22/2022
EN,1,51263,9312-221,888888,DNR,450,350,$,26,0,admin,5/22/2022
EN,1,50918,9102-211,888888,DNR,450,300,$,26,0,admin,5/22/2022
EN,1,2656,9102-221,888888,DNR,450,300,$,26,0,admin,5/22/2022
EN,1,50317,9102-211,888888,DNR,450,350,$,26,0,admin,5/22/2022
EN,1,51266,9110-211,888888,DNR,450,350,$,26,0,admin,5/22/2022
EN,1,52948,9110-211,888888,DNR,450,475,$,26,0,admin,5/22/2022
EN,1,53930,9133-211,888888,DNR,450,300,$,26,0,admin,5/22/2022
EN,1,51131,9321-221,888888,DNR,450,350,$,26,0,admin,5/22/2022
EN,1,52902,9106-211,888888,DNR,450,300,$,26,0,admin,5/22/2022
EN,1,53905,9106-211,888888,DNR,450,400,$,26,0,admin,5/22/2022
EN,1,50046,9131-211,888888,DNR,450,375,$,26,0,admin,5/22/2022
EN,1,50079,9103-211,888888,DNR,450,350,$,26,0,admin,5/22/2022
EN,1,50822,9102-211,888888,DNR,450,325,$,26,0,admin,5/22/2022
EN,1,51020,9123-211,888888,DNR,450,315,$,26,0,admin,5/22/2022
EN,1,51194,9128-211,888888,DNR,450,300,$,26,0,admin,5/22/2022
EN,1,52652,9105-221,888888,DNR,450,350,$,26,0,admin,5/22/2022
EN,1,51209,9105-211,888888,DNR,450,375,$,26,0,admin,5/22/2022
EN,1,52015,9105-211,888888,DNR,450,425,$,26,0,admin,5/22/2022
EN,1,52654,9105-211,888888,DNR,450,300,$,26,0,admin,5/22/2022
EN,1,51269,9105-221,888888,DNR,450,500,$,26,0,admin,5/22/2022
EN,1,53015,9100-211,888888,DNR,450,350,$,26,0,admin,5/22/2022
EN,1,53005,9100-211,888888,DNR,450,385,$,26,0,admin,5/22/2022
EN,1,50963,9122-211,888888,DNR,450,300,$,26,0,admin,5/22/2022
EN,1,53021,9173-211,888888,DNR,450,435,$,26,0,admin,5/22/2022
EN,1,50699,9173-211,888888,DNR,450,325,$,26,0,admin,5/22/2022
EN,1,53017,9209-211,888888,DNR,450,325,$,26,0,admin,5/22/2022
EN,1,50723,9172-211,888888,DNR,450,350,$,26,0,admin,5/22/2022
EN,1,50822,9173-211,888888,DNR,450,325,$,26,0,admin,5/22/2022
EN,1,50996,9167-211,888888,DNR,450,300,$,26,0,admin,5/22/2022
EN,1,53019,9167-211,888888,DNR,450,400,$,26,0,admin,5/22/2022
EN,1,52902,9167-211,888888,DNR,450,300,$,26,0,admin,5/22/2022
EN,1,52902,9167-211,888888,DNR,450,300,$,26,0,admin,5/22/2022
EN,1,50822,9104-211,888888,DNR,450,300,$,26,0,admin,5/22/2022
EN,1,52902,9203-211,888888,DNR,450,300,$,26,0,admin,5/22/2022
EN,1,53941,9203-211,888888,DNR,450,400,$,26,0,admin,5/22/2022
EN,1,52030,9111-211,888888,DNR,450,575,$,26,0,admin,5/22/2022
EN,1,53034,9111-211,888888,DNR,450,400,$,26,0,admin,5/22/2022
EN,1,50046,9197-211,888888,DNR,450,375,$,26,0,admin,5/22/2022
EN,1,52657,9197-211,888888,DNR,450,225,$,26,0,admin,5/22/2022
EN,1,51097,9275-211,888888,DNR,450,375,$,26,0,admin,5/22/2022
EN,1,52907,9275-221,888888,DNR,450,360,$,26,0,admin,5/22/2022
EN,1,50008,9275-221,888888,DNR,450,385,$,26,0,admin,5/22/2022
