inventoryId,languageId,companyCodeId,plantId,warehouseId,palletCode,caseCode,itemCode,packBarcodes,variantCode,variantSubCode,batchSerialNumber,storageBin,stockTypeId,specialStockIndicatorId,referenceOrderNo,storageMethod,binClassId,description,allocatedQuantity,inventoryQuantity,inventoryUom,manufacturerCode,manufacturerDate,expiryDate,barcodeId,cbm,cbmUnit,cbmPerQuantity,manufacturerName,origin,brand,referenceDocumentNo,levelId,companyDescription,plantDescription,warehouseDescription,statusDescription,stockTypeDescription,deletionIndicator,referenceField1,referenceField2,referenceField3,referenceField4,referenceField5,referenceField6,referenceField7,referenceField8,referenceField9,referenceField10,dType,createdBy
,EN,23,125,200,99999,99999,1788175212,99999,,,,A2-AB-06-50A,1,1,,,1,HOSE AIR CLEANER No.1 PRADO 2013-,0,4,EACH,TOY,,,1788175212,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,4,AB,,,HOSE AIR CLEANER No.1 PRADO 2013-,TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,1914526060,99999,,,,A2-AB-16-40A,1,1,,,1,POINT DISTRIBUTOR HILUX 1979-1984,0,10,EACH,TOY,,,1914526060  O,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,10,AB,,,POINT DISTRIBUTOR HILUX 1979-1984,TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,2220422010,99999,,,,A2-AB-04-60B,1,1,,,1,METER INTAKE AIR FLOW CAMRY 2005-,0,5,EACH,TOY,,,2220422010  5,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,5,AB,,,METER INTAKE AIR FLOW CAMRY 2005-,TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,2322438010,99999,,,,A2-AB-16-60C,1,1,,,1,GASKET FUEL PUMP RH LS460 2007-,0,10,EACH,TOY,,,2322438010  F,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,10,AB,,,GASKET FUEL PUMP RH LS460 2007-,TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,2329123010,99999,,,,A2-AB-29-40B,1,1,,,1,INSULATOR INJECTOR COROLLA ALTIS 2013-,0,10,EACH,TOY,,,2329123010  D,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,10,AB,,,INSULATOR INJECTOR COROLLA ALTIS 2013-,TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,2330021010,99999,,,,A2-AB-31-40C,1,1,,,1,FUEL FILTER FUEL COROLLA ALTIS 2001-2008,0,2,EACH,TOY,,,2330021010  2,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,2,AB,,,FUEL FILTER FUEL COROLLA ALTIS 2001-2008,TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,2330031100,99999,,,,A2-AB-31-40A,1,1,,,1,FUEL FILTER ASSY PRADO 03-10,0,5,EACH,TOY,,,2330031100  3,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,5,AB,,,FUEL FILTER ASSY PRADO 03-10,TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,2330031160,99999,,,,A2-AB-33-50B,1,1,,,1,FUEL FILTER PRADO 2010-UP GX400/460 ,0,10,EACH,TOY,,,2330031160  9,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,10,AB,,,FUEL FILTER PRADO 2010-UP GX400/460 ,TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,2330031170,99999,,,,A2-AB-31-40C,1,1,,,1,FUEL FILTER EFI L/C P.UP 10-17,0,2,EACH,TOY,,,2330031170  A,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,2,AB,,,FUEL FILTER EFI L/C P.UP 10-17,TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,2330075140,99999,,,,A2-AB-31-40B,1,1,,,1,FUEL FILTER EFI FORTUNER/HILUX 2005-,0,2,EACH,TOY,,,2330075140  F,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,2,AB,,,FUEL FILTER EFI FORTUNER/HILUX 2005-,TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,2382620091,99999,,,,A2-AB-18-40B,1,1,,,1,HOSE FUEL VAPOR FEED  ES300 2002-,0,5,EACH,TOY,,,2382620091  N,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,5,AB,,,HOSE FUEL VAPOR FEED  ES300 2002-,TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,2570138132,99999,,,,A2-AB-03-60C,1,1,,,1,VALVE EMISSION CONTROL NO.1 GX460 10-14,0,1,EACH,TOY,,,2570138132  M,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AB,,,VALVE EMISSION CONTROL NO.1 GX460 10-14,TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,2570238062,99999,,,,A2-AB-07-30B,1,1,,,1,VALVE EMISSION CONTROL NO.2 GX460 10-14,0,1,EACH,TOY,,,2570238062  P,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AB,,,VALVE EMISSION CONTROL NO.2 GX460 10-14,TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,273700C020,99999,,,,A2-AB-31-50A,1,1,,,1,HOLDER ALTERNATOR BRUSH PRADO 10-16,0,5,EACH,TOY,,,273700C020  N,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,5,AB,,,HOLDER ALTERNATOR BRUSH PRADO 10-16,TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,312040K120,99999,,,,A2-AB-08-40A,1,1,,,1,FORK CLUTCH RELEASE HILUX 2016-,0,2,EACH,TOY,,,312040K120  N,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,2,AB,,,FORK CLUTCH RELEASE HILUX 2016-,TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,3123060181,99999,,,,A2-AB-33-30B,1,1,,,1,BEARING ASSY CLUTCH REL L/C 100 2003-,0,2,EACH,TOY,,,3123060181  F,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,2,AB,,,BEARING ASSY CLUTCH REL L/C 100 2003-,TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,312500K152,99999,,,,A2-AB-11-30B,1,1,,,1,CLUTCH DISC ASSY FORTUNER/HILUX 2011-,0,2,EACH,TOY,,,312500K152  T,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,2,AB,,,CLUTCH DISC ASSY FORTUNER/HILUX 2011-,TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,3142026201,99999,,,,A2-AB-06-30A,1,1,,,1,CLUTCH MASTER CYLINDER HIACE 2005-,0,2,EACH,TOY,,,3142026201  B,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,2,AB,,,CLUTCH MASTER CYLINDER HIACE 2005-,TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,3291760090,99999,,,,A2-AB-23-50C,1,1,,,1,DUCT OIL COOLER L/C 2016-2021-,0,1,EACH,TOY,,,3291760090  R,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AB,,,DUCT OIL COOLER L/C 2016-2021-,TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,3292060191,99999,,,,B2-AC-09-30A,1,1,,,1,OIL COOLER W/HOSE LX570 08-16,0,1,EACH,TOY,,,3292060191  N,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AC,,,OIL COOLER W/HOSE LX570 08-16,TOY,B2,InventoryV2,admin
