LANG_ID,CLASS_ID,CLIENT_ID,MATTER_NO,STATUS_ID,CTD_BY,CTD_ON,,,,,,,,,,,,,
EN,2,7104,7104-16,30,BHARGAVI,06-22-2016,,,,,,,,,,,,,
EN,2,7105,7105-16,30,BHARGAVI,06-24-2016,,,,,,,,,,,,,
EN,2,7106,7106-16,30,BHARGAVI,06-27-2016,,,,,,,,,,,,,
EN,2,7107,7107-16,30,BHARGAVI,11-03-2016,,,,,,,,,,,,,
EN,2,7109,7109-16,30,BHARGAVI,06-28-2016,,,,,,,,,,,,,
EN,2,7110,7110-19,30,BHARGAVI,09-24-2019,,,,,,,,,,,,,
EN,2,7111,7111-19,30,BHARGAVI,09-24-2019,,,,,,,,,,,,,
EN,2,7112,7112-19,30,BHARGAVI,09-24-2019,,,,,,,,,,,,,
EN,2,7113,7113-18,30,BHARGAVI,03-17-2018,,,,,,,,,,,,,
EN,2,7114,7114-16,30,BHARGAVI,07-07-2016,,,,,,,,,,,,,
EN,2,7115,7115-16,30,BHARGAVI,07-11-2016,,,,,,,,,,,,,
EN,2,7116,7116-21,30,BHARGAVI,08-31-2021,,,,,,,,,,,,,
EN,2,7118,7118-16,30,BHARGAVI,07-14-2016,,,,,,,,,,,,,
EN,2,7119,7119-18,30,BHARGAVI,07-19-2018,,,,,,,,,,,,,
EN,2,7120,7120-16,30,BHARGAVI,07-15-2016,,,,,,,,,,,,,
EN,2,7121,7121-16,30,BHARGAVI,07-15-2016,,,,,,,,,,,,,
EN,2,7122,7122-19,30,BHARGAVI,12-31-2019,,,,,,,,,,,,,
EN,2,7123,7123-19,30,BHARGAVI,11-04-2019,,,,,,,,,,,,,
EN,2,7124,7124-16,30,BHARGAVI,07-25-2016,,,,,,,,,,,,,
EN,2,7125,7125-17,30,BHARGAVI,01-11-2017,,,,,,,,,,,,,
EN,2,7125,7125-17,30,BHARGAVI,01-11-2017,,,,,,,,,,,,,
EN,2,7127,7127-16,30,BHARGAVI,07-30-2016,,,,,,,,,,,,,
EN,2,7128,7128-20,30,BHARGAVI,04-06-2020,,,,,,,,,,,,,
EN,2,7129,7129-16,30,BHARGAVI,08-03-2016,,,,,,,,,,,,,
EN,2,7130,7130-16,30,BHARGAVI,08-03-2016,,,,,,,,,,,,,
EN,2,7131,7131-16,30,BHARGAVI,08-04-2016,,,,,,,,,,,,,
EN,2,7132,7132-20,30,BHARGAVI,02-20-2020,,,,,,,,,,,,,
EN,2,7134,7134-21,30,BHARGAVI,02-08-2021,,,,,,,,,,,,,
EN,2,7135,7135-16,30,BHARGAVI,08-15-2016,,,,,,,,,,,,,
EN,2,7136,7136-16,30,BHARGAVI,08-15-2016,,,,,,,,,,,,,
EN,2,7137,7137-20,30,BHARGAVI,07-09-2020,,,,,,,,,,,,,
EN,2,7138,7138-20,30,BHARGAVI,07-09-2020,,,,,,,,,,,,,
EN,2,7139,7139-16,30,BHARGAVI,08-15-2016,,,,,,,,,,,,,
EN,2,7140,7140-21,30,BHARGAVI,06-08-2021,,,,,,,,,,,,,
EN,2,7141,7141-16,30,BHARGAVI,08-15-2016,,,,,,,,,,,,,
EN,2,7142,7142-16,30,BHARGAVI,08-16-2016,,,,,,,,,,,,,
EN,2,7143,7143-16,30,BHARGAVI,08-16-2016,,,,,,,,,,,,,
EN,2,7144,7144-19,30,BHARGAVI,01-10-2019,,,,,,,,,,,,,
EN,2,7145,7145-16,30,BHARGAVI,08-17-2016,,,,,,,,,,,,,
EN,2,7146,7146-17,30,BHARGAVI,08-17-2016,,,,,,,,,,,,,
EN,2,7147,7147-21,30,BHARGAVI,02-02-2021,,,,,,,,,,,,,
EN,2,7148,7148-16,30,BHARGAVI,08-23-2016,,,,,,,,,,,,,
EN,2,7149,7149-17,30,BHARGAVI,01-10-2017,,,,,,,,,,,,,
EN,2,7150,7150-21,30,BHARGAVI,01-22-2021,,,,,,,,,,,,,
EN,2,7151,7151-16,30,BHARGAVI,08-31-2016,,,,,,,,,,,,,
EN,2,7152,7152-16,30,BHARGAVI,08-31-2016,,,,,,,,,,,,,
EN,2,7153,7153-18,30,BHARGAVI,10-31-2018,,,,,,,,,,,,,
EN,2,7154,7154-16,30,BHARGAVI,09-07-2016,,,,,,,,,,,,,
EN,2,7155,7155-17,30,BHARGAVI,03-28-2017,,,,,,,,,,,,,
EN,2,7156,7156-18,30,BHARGAVI,02-28-2018,,,,,,,,,,,,,
EN,2,7157,7157-16,30,BHARGAVI,09-12-2016,,,,,,,,,,,,,
EN,2,7158,7158-16,30,BHARGAVI,09-12-2016,,,,,,,,,,,,,
EN,2,7159,7159-16,30,BHARGAVI,09-16-2016,,,,,,,,,,,,,
EN,2,7160,7160-16,30,BHARGAVI,09-16-2016,,,,,,,,,,,,,
EN,2,7161,7161-16,30,BHARGAVI,09-19-2016,,,,,,,,,,,,,
EN,2,7162,7162-16,30,BHARGAVI,09-19-2016,,,,,,,,,,,,,
EN,2,7163,7163-17,30,BHARGAVI,01-11-2017,,,,,,,,,,,,,
EN,2,7164,7164-16,30,BHARGAVI,09-19-2016,,,,,,,,,,,,,
EN,2,7165,7165-16,30,BHARGAVI,09-19-2016,,,,,,,,,,,,,
EN,2,7166,7166-16,30,BHARGAVI,09-19-2016,,,,,,,,,,,,,
EN,2,7167,7167-16,30,BHARGAVI,09-20-2016,,,,,,,,,,,,,
EN,2,7168,7168-16,30,BHARGAVI,09-26-2016,,,,,,,,,,,,,
EN,2,7169,7169-16,30,BHARGAVI,09-22-2016,,,,,,,,,,,,,
EN,2,7170,7170-18,30,BHARGAVI,06-09-2018,,,,,,,,,,,,,
EN,2,7171,7171-20,30,BHARGAVI,03-11-2020,,,,,,,,,,,,,
EN,2,7172,7172-19,30,BHARGAVI,04-22-2019,,,,,,,,,,,,,
EN,2,7173,7173-16,30,BHARGAVI,09-26-2016,,,,,,,,,,,,,
