LANG_ID,C_ID,PLANT_ID,WH_ID,PARTNER_TYP,PARTNER_CODE,PARTNER_NM,ADD_1,ADD_2,Zone ,COUNTRY,STATE,PH_NO,FX_NO,MAIL_ID,REF_TXT,LOCATION,LATITUDE,LONGITUDE,ST_TYP_ID,ST_BIN,STATUS_ID,Isdeleted,CTD_BY,CTD_ON,UTD_BY,UTD_ON
Language ID,Company Code ID,Plant ID,Warehouse ID,Business Parnter type,Partner Code,Partner Name ,Address 1,Address 2,Zone ,Country,State,Phone Number,Fax Number,E-Mail ID,Reference Text,Location ,Latitude,Longitude,Storage Type ID,Storage Bin ,Status ID,Deletion Indicator,created by,created on,updated by,updated on
NVARCHAR(5),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),INTEGER,NVARCHAR(50),NVARCHAR(50),NVARCHAR(5000),NVARCHAR(5000),NVARCHAR(500),NVARCHAR(50),NVARCHAR(50),NVARCHAR(500),NVARCHAR(500),NVARCHAR(500),NVARCHAR(500),NVARCHAR(500),"DECIMAL(30,15)","DECIMAL(30,15)",INTEGER,NVARCHAR(50),INTEGER,INTEGER,NVARCHAR(50),TIMESTAMP,NVARCHAR(50),TIMESTAMP
EN,1000,1001,111,1,VCT01998,AL ANWAR ENERGY ESTABLISHMENT (CONSIGNMENT),KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,1,VFT01657,CHAOZHOU HONGJIA (table serving ware)CERMICS MAKING CO.,CHINA,,,CHINA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,1,VFT01460,"SHINE ARTS(fruit bowl,candl hldr)",CHINA,,,CHINA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,1,VCT01146,NAWAHIL GEN.TRD.&CONT CONSIGNM,KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,1,VFT01626,DONGLI PLASTIC(artificl plants) MANUFACTORY (H.K.) L/C 07/05,CHINA,,,CHINA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,1,VFT02173,HIGOLD FOSHAN SHUNDE HARDWARE PRODUCT MANUFACTURING CO,CHINA,,,CHINA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,1,VFT02753,DOFORD (HK) IMP & EXP CO. LIMITED,CHINA,,,CHINA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,1,VFT01456,ZIBO EXCEL(canister set),CHINA,,,CHINA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,1,VFT01467,XIANG YOU INTERNATIONAL(poly.vase),CHINA,,,CHINA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,1,VFT02612,TIANJIN COMMUNITRADE,CHINA,,,CHINA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,1,VCT00237,AL JOTHOOR FACIAL CONSIGNMENT,KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,1,VFT00117,AL SAIF TRD K.S.A L/C95082880,CHINA,,,CHINA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,1,VFT01555,THE GREAT WALL GROUP(desert plate) COMPANY G.B. $33065.80,CHINA,,,CHINA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,1,VFT01448,COLOR RICH LIMITED(cushion),CHINA,,,CHINA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,1,VFT01761,NINGBO YAWN INTERNATIONAL TRDG 08/04055 $27911.64,CHINA,,,CHINA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,1,VFT02138,BRONDELL INC,CHINA,,,CHINA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,1,VFT01722,SHANTOU JINHAI INDUSTRY(nest tabl) L/C 08/931177 $19960.00,CHINA,,,CHINA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,2,101,Abdali Warehouse,Abdali,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,2,102,Shuwaik Showroom,"Shuwaikh Industrial 2, Street 26",,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,2,103,Alrai Showroom,"Al Rai, Hamad Rashed Al Alban St",,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,2,107,Egaila Showroom,"89 Mall, Egaila",,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,2,109,Corner Store,"Al Rai, Hamad Rashed Al Alban St",,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,2,111,True Express showroom,"Al Rai, Hamad Rashed Al Alban St",,,KUWAIT,,,,,,,,,,,1,0,admin,,,
