LANG_ID,C_ID,PLANT_ID,WH_ID,PAR_ITM_CODE,BOM_NO,PAR_ITM_QTY,STATUS_ID,Isdeleted,CTD_BY,CTD_ON
Language ID,Company Code ID,Plant ID,Warehouse ID,Parent Item Code,BOM NUMBER,Parent item Quantity ,Status ID,Deletion Indicator,Created By ,Created on
NVARCHAR(5),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),INTEGER,"DECIMAL(30,4)",INTEGER,INTEGER,NVARCHAR(50),TIMESTAMP
EN,1000,1001,110,013062338,1000128,1,1,0,admin,
EN,1000,1001,110,013062439,1000129,1,1,0,admin,
EN,1000,1001,110,013062440,1000130,1,1,0,admin,
EN,1000,1001,110,013063539,1000131,1,1,0,admin,
EN,1000,1001,110,013063543,1000132,1,1,0,admin,
EN,1000,1001,110,013063865,1000133,1,1,0,admin,
EN,1000,1001,110,013063866,1000134,1,1,0,admin,
EN,1000,1001,110,013063867,1000135,1,1,0,admin,
EN,1000,1001,110,013063881,1000136,1,1,0,admin,
EN,1000,1001,110,013063882,1000137,1,1,0,admin,
EN,1000,1001,110,013063883,1000138,1,1,0,admin,
EN,1000,1001,110,013064000,1000139,1,1,0,admin,
EN,1000,1001,110,013064001,1000140,1,1,0,admin,
EN,1000,1001,110,013064002,1000141,1,1,0,admin,
EN,1000,1001,110,013064030,1000142,1,1,0,admin,
EN,1000,1001,110,013064079,1000143,1,1,0,admin,
EN,1000,1001,110,013064142,1000144,1,1,0,admin,
EN,1000,1001,110,013064146,1000145,1,1,0,admin,
EN,1000,1001,110,013064158,1000146,1,1,0,admin,
EN,1000,1001,110,013064159,1000147,1,1,0,admin,
EN,1000,1001,110,013064160,1000148,1,1,0,admin,
EN,1000,1001,110,013064165,1000149,1,1,0,admin,
EN,1000,1001,110,013064166,1000150,1,1,0,admin,
EN,1000,1001,110,013064171,1000151,1,1,0,admin,
EN,1000,1001,110,013064172,1000152,1,1,0,admin,
EN,1000,1001,110,013064176,1000153,1,1,0,admin,
EN,1000,1001,110,013064177,1000154,1,1,0,admin,
EN,1000,1001,110,013064179,1000155,1,1,0,admin,
EN,1000,1001,110,013064180,1000156,1,1,0,admin,
EN,1000,1001,110,013064556,1000157,1,1,0,admin,
EN,1000,1001,110,013064560,1000158,1,1,0,admin,
EN,1000,1001,110,013064561,1000159,1,1,0,admin,
EN,1000,1001,110,013064562,1000160,1,1,0,admin,
EN,1000,1001,110,013064616,1000161,1,1,0,admin,
EN,1000,1001,110,013064617,1000162,1,1,0,admin,
EN,1000,1001,110,013064618,1000163,1,1,0,admin,
EN,1000,1001,110,013064827,1000164,1,1,0,admin,
EN,1000,1001,110,013064828,1000165,1,1,0,admin,
EN,1000,1001,110,013065003,1000166,1,1,0,admin,
EN,1000,1001,110,013065039,1000167,1,1,0,admin,
EN,1000,1001,110,013065256,1000168,1,1,0,admin,
EN,1000,1001,110,013065258,1000169,1,1,0,admin,
EN,1000,1001,110,013065259,1000170,1,1,0,admin,
EN,1000,1001,110,013065260,1000171,1,1,0,admin,
EN,1000,1001,110,013065683,1000172,1,1,0,admin,
EN,1000,1001,110,013065684,1000173,1,1,0,admin,
EN,1000,1001,110,013065694,1000174,1,1,0,admin,
EN,1000,1001,110,013065699,1000175,1,1,0,admin,
EN,1000,1001,110,013065700,1000176,1,1,0,admin,
EN,1000,1001,110,013065701,1000177,1,1,0,admin,
EN,1000,1001,110,013065704,1000178,1,1,0,admin,
EN,1000,1001,110,013065712,1000179,1,1,0,admin,
EN,1000,1001,110,013065841,1000180,1,1,0,admin,
EN,1000,1001,110,013065842,1000181,1,1,0,admin,
EN,1000,1001,110,013065844,1000182,1,1,0,admin,
EN,1000,1001,110,013065848,1000183,1,1,0,admin,
EN,1000,1001,110,013065852,1000184,1,1,0,admin,
EN,1000,1001,110,013065853,1000185,1,1,0,admin,
EN,1000,1001,110,013065854,1000186,1,1,0,admin,
EN,1000,1001,110,013066226,1000187,1,1,0,admin,
EN,1000,1001,110,013066227,1000188,1,1,0,admin,
EN,1000,1001,110,013066228,1000189,1,1,0,admin,
EN,1000,1001,110,013066229,1000190,1,1,0,admin,
EN,1000,1001,110,013066230,1000191,1,1,0,admin,
EN,1000,1001,110,013066231,1000192,1,1,0,admin,
EN,1000,1001,110,013066232,1000193,1,1,0,admin,
EN,1000,1001,110,013066233,1000194,1,1,0,admin,
EN,1000,1001,110,013066288,1000195,1,1,0,admin,
EN,1000,1001,110,013066301,1000196,1,1,0,admin,
EN,1000,1001,110,013066438,1000197,1,1,0,admin,
EN,1000,1001,110,013066439,1000198,1,1,0,admin,
EN,1000,1001,110,013066440,1000199,1,1,0,admin,
EN,1000,1001,110,013066875,1000200,1,1,0,admin,
EN,1000,1001,110,013066876,1000201,1,1,0,admin,
EN,1000,1001,110,013066877,1000202,1,1,0,admin,
EN,1000,1001,110,013067034,1000203,1,1,0,admin,
EN,1000,1001,110,013067071,1000204,1,1,0,admin,
EN,1000,1001,110,013067072,1000205,1,1,0,admin,
EN,1000,1001,110,013067076,1000206,1,1,0,admin,
EN,1000,1001,110,013067313,1000207,1,1,0,admin,
EN,1000,1001,110,013067316,1000208,1,1,0,admin,
EN,1000,1001,110,013067317,1000209,1,1,0,admin,
EN,1000,1001,110,013067319,1000210,1,1,0,admin,
EN,1000,1001,110,013067320,1000211,1,1,0,admin,
EN,1000,1001,110,013067321,1000212,1,1,0,admin,
EN,1000,1001,110,013067716,1000213,1,1,0,admin,
EN,1000,1001,110,013067717,1000214,1,1,0,admin,
EN,1000,1001,110,013067718,1000215,1,1,0,admin,
