LANG_ID,C_ID,PLANT_ID,WH_ID,ITM_CODE,PACK_BARCODE,ST_BIN,STCK_TYP_ID,SP_ST_IND_ID,BIN_CL_ID,TEXT,INV_QTY,INV_UOM,Isdeleted,IU_CTD_BY,IU_CTD_ON
Language ID,Company Code ID,Plant ID,Warehouse ID,Item code,Pack Barcode,Storage Bin ,Stock type ID,Special Stock Indicator ID,Bin Class ID,Description ,Inventory Quantity ,Inventory UOM,Deletion Indicator,Created By ,Created on
NVARCHAR(5),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),INTEGER,INTEGER,INTEGER,NVARCHAR(500),"DECIMAL(30,4)",NVARCHAR(50),INTEGER,NVARCHAR(50),TIMESTAMP
EN,1000,1001,110,207951,TV00366382,GB1BJ03B01,1,1,1,FURNITURE POLISH LEMON SCENT 12.5OZ,24,EA,0,admin,
EN,1000,1001,110,208165,G190010413,GB1BG02C01,1,1,1,WOOD FINISH FRUITWOOD 1/2pt,97,EA,0,admin,
EN,1000,1001,110,208374,G190034031,GB1BB05A02,1,1,1,CEDAR SACHET/BAG 3CT,30,EA,0,admin,
EN,1000,1001,110,208377,G190033067,GB1BD08B02,1,1,1,WHL HAMPER 28.38 WHT,9,EA,0,admin,
EN,1000,1001,110,208378,G190031695,GB1BE24A01,1,1,1,CARRY HAMPER 19-7/8 WHT,11,EA,0,admin,
EN,1000,1001,110,208380,G190033942,GB1BD22A02,1,1,1,RECT LAUNDRY BASKET 24 ASSTD,36,EA,0,admin,
EN,1000,1001,110,208384,G200005406,GB1BB11B02,1,1,1,ESPRESS WEAVE BASKET 22-3/8 WITH LID,10,EA,0,admin,
EN,1000,1001,110,208397,G190031832,GB1BA16C02,1,1,1,FABRIC SHAVER W/CLENING BRUSH,52,EA,0,admin,
EN,1000,1001,110,208398,G190029596,GB1BA08A01,1,1,1,OVER DR IRON CADDY CHR,26,EA,0,admin,
EN,1000,1001,110,208399,G190024261,GB1BA11A03,1,1,1,WD TABLE TOP IRON BOARD,20,EA,0,admin,
EN,1000,1001,110,208400,G190032288,GB1BE04C01,1,1,1,BASIC IRON BOARD WHT,16,EA,0,admin,
EN,1000,1001,110,208401,G190031766,GB1BC19A03,1,1,1,TABLE IRON BOARD DLX,9,EA,0,admin,
EN,1000,1001,110,208402,G190029869,GB1BD05A02,1,1,1,IRON BOARD/REST WHT,29,EA,0,admin,
EN,1000,1001,110,208403,G190029595,GB1BA08B01,1,1,1,RETRACT CLOTHELINE 40,62,EA,0,admin,
EN,1000,1001,110,208404,G190034033,GB1BB05A02,1,1,1,LAUNDRY DRYER 2PK BALLS,70,EA,0,admin,
