inventoryId,languageId,companyCodeId,plantId,warehouseId,palletCode,caseCode,itemCode,packBarcodes,variantCode,variantSubCode,batchSerialNumber,storageBin,stockTypeId,specialStockIndicatorId,referenceOrderNo,storageMethod,binClassId,description,allocatedQuantity,inventoryQuantity,inventoryUom,manufacturerCode,manufacturerDate,expiryDate,barcodeId,cbm,cbmUnit,cbmPerQuantity,manufacturerName,origin,brand,referenceDocumentNo,levelId,companyDescription,plantDescription,warehouseDescription,statusDescription,stockTypeDescription,deletionIndicator,referenceField1,referenceField2,referenceField3,referenceField4,referenceField5,referenceField6,referenceField7,referenceField8,referenceField9,referenceField10,dType,createdBy
1709259939363,EN,23,125,200,99999,99999,9046705090B1,99999,,,,A3-AA-21-60E,1,1,,,1,CLIP,0,38,ECH,TOY,,,9046705090B19,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,38,AA,,,CLIP,TOY,A3,InventoryV2,admin
1709259939364,EN,23,125,200,99999,99999,8538336010,99999,,,,A3-AA-21-60G,1,1,,,1,"PM2 HOLDER FRT WASHER,COASTER 2004",0,1,ECH,TOY,,,,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AA,,,"PM2 HOLDER FRT WASHER,COASTER 2004",TOY,A3,InventoryV2,admin
1709259939365,EN,23,125,200,99999,99999,5256360120,99999,,,,A3-AA-21-60I,1,1,,,1,RETAINER RR BUMPER UPPER LH L/C 2022,0,2,ECH,TOY,,,5256360120  K,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,2,AA,,,RETAINER RR BUMPER UPPER LH L/C 2022,TOY,A3,InventoryV2,admin
1709259939366,EN,23,125,200,99999,99999,5253550060,99999,,,,A3-AA-21-60J,1,1,,,1,PM3 RETAINER BUMPER FR SIDE IS250/300 06,0,11,ECH,TOY,,,5253550060  L,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,11,AA,,,PM3 RETAINER BUMPER FR SIDE IS250/300 06,TOY,A3,InventoryV2,admin
1709259939367,EN,23,125,200,99999,99999,1354928012,99999,,,,A3-AA-23-30A,1,1,,,1,"PLATE CHAIN TENSIONER 1AZFE,2AZFE",0,1,ECH,TOY,,,1354928012  P,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AA,,,"PLATE CHAIN TENSIONER 1AZFE,2AZFE",TOY,A3,InventoryV2,admin
1709259939368,EN,23,125,200,99999,99999,1756522030,99999,,,,A3-AA-23-30A,1,1,,,1,SUPPORT EXH PIPE No.1 COROLLA 2008-,0,1,ECH,TOY,,,1756522030  L,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AA,,,SUPPORT EXH PIPE No.1 COROLLA 2008-,TOY,A3,InventoryV2,admin
1709259939369,EN,23,125,200,99999,99999,9094201007,99999,,,,A3-AA-23-30B,1,1,,,1,NUT,0,10,ECH,TOY,,,9094201007  M,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,10,AA,,,NUT,TOY,A3,InventoryV2,admin
1709259939370,EN,23,125,200,99999,99999,5311912150,99999,,,,A3-AA-23-30C,1,1,,,1,CUSHION RAD SUPPORT YARIS 14-,0,1,ECH,TOY,,,,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AA,,,CUSHION RAD SUPPORT YARIS 14-,TOY,A3,InventoryV2,admin
1709259939371,EN,23,125,200,99999,99999,9098113044,99999,,,,A3-AA-23-30D,1,1,,,1,BULB 12V 21/5W,0,10,ECH,TOY,,,-9098113044     2307210056JAPAN,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,10,AA,,,BULB 12V 21/5W,TOY,A3,InventoryV2,admin
1709259939372,EN,23,125,200,99999,99999,5212653040,99999,,,,A3-AA-23-30E,1,1,,,1,PM2 BRACKET FOG LAMP MOUNT IS250/350 201,0,1,ECH,TOY,,,,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AA,,,PM2 BRACKET FOG LAMP MOUNT IS250/350 201,TOY,A3,InventoryV2,admin
1709259939373,EN,23,125,200,99999,99999,9094201082,99999,,,,A3-AA-23-30F,1,1,,,1,"AXLE BOLT FORTUNER,HILUX 2005-",0,10,ECH,TOY,,,9094201082  P,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,10,AA,,,"AXLE BOLT FORTUNER,HILUX 2005-",TOY,A3,InventoryV2,admin
1709259939374,EN,23,125,200,99999,99999,9094201033,99999,,,,A3-AA-23-30G,1,1,,,1,NUT YARIS /CAMRY 2006-,0,10,ECH,TOY,,,9094201033  L,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,10,AA,,,NUT YARIS /CAMRY 2006-,TOY,A3,InventoryV2,admin
1709259939375,EN,23,125,200,99999,99999,5387933030,99999,,,,A3-AA-23-30H,1,1,,,1,RETAINER FENDER LINER CAMRY 2018 ,0,1,ECH,TOY,,,5387933030  V,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AA,,,RETAINER FENDER LINER CAMRY 2018 ,TOY,A3,InventoryV2,admin
1709259939376,EN,23,125,200,99999,99999,9046722015,99999,,,,A3-AA-23-30H,1,1,,,1,TOY CLIP MOLDING,0,10,ECH,TOY,,,9046722015  Q,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,10,AA,,,TOY CLIP MOLDING,TOY,A3,InventoryV2,admin
1709259939377,EN,23,125,200,99999,99999,53124YP220,99999,,,,A3-AA-23-30I,1,1,,,1,MOLDING RAD GRILLE LH YARIS 2022,0,4,ECH,TOY,,,53124YP220  P,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,4,AA,,,MOLDING RAD GRILLE LH YARIS 2022,TOY,A3,InventoryV2,admin
1709259939378,EN,23,125,200,99999,99999,52712BZ340,99999,,,,A3-AA-23-30J,1,1,,,1,"MOLDING FRT BUMPER RH,AVANZA 2020",0,1,ECH,TOY,,,,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AA,,,"MOLDING FRT BUMPER RH,AVANZA 2020",TOY,A3,InventoryV2,admin
1709259939379,EN,23,125,200,99999,99999,9098111059,99999,,,,A3-AA-23-40A,1,1,,,1,BULB CENTER STOP LAMP 12V,0,7,ECH,TOY,,,9098111059  X,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,7,AA,,,BULB CENTER STOP LAMP 12V,TOY,A3,InventoryV2,admin
1709259939380,EN,23,125,200,99999,99999,0881610001,99999,,,,A3-AA-23-40B,1,1,,,1,SILICON OIL,0,10,ECH,TOY,,,0881610001  F,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,10,AA,,,SILICON OIL,TOY,A3,InventoryV2,admin
1709259939381,EN,23,125,200,99999,99999,9098115021,99999,,,,A3-AA-23-40B,1,1,,,1,BULB,0,1,ECH,TOY,,,9098115021  Q,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AA,,,BULB,TOY,A3,InventoryV2,admin
1709259939382,EN,23,125,200,99999,99999,9645900609,99999,,,,A3-AA-23-40C,1,1,,,1,FITTING GREACE COASTER 2000-2005,0,10,ECH,TOY,,,9645900609,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,10,AA,,,FITTING GREACE COASTER 2000-2005,TOY,A3,InventoryV2,admin
