PARTNER_CODE,LANG_ID,C_ID,PLANT_ID,WH_ID,ITEM_CODE,PARTNER_TYP,PARTNER_ITM_BAR,MFR_CODE,MFR_NAME,BRND_NM,PARTNER_NAME,PARTNER_ITM_CODE,PARTNER_ITM_BAR_CODE,MFR_BAR,STK,STK_UOM,STATUS_ID,REF_FIELD_1,REF_FIELD_2,REF_FIELD_3,IS_DELETED,CTD_BY
TAI,EN,21,222,200,88944391,1,88944391,TAI,TAI,,TAI,88944391,88944391,88944391,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,88944392,1,88944392,TAI,TAI,,TAI,88944392,88944392,88944392,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,88980802,1,88980802,GMO,GMO,,GMO,88980802,88980802,88980802,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,89017621,1,89017621,GMO,GMO,,GMO,89017621,89017621,89017621,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,89018049,1,89018049,GMO,GMO,,GMO,89018049,89018049,89018049,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,89023365,1,89023365,TAI,TAI,,TAI,89023365,89023365,89023365,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,89060436,1,89060436,TAI,TAI,,TAI,89060436,89060436,89060436,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92047105,1,92047105,TAI,TAI,,TAI,92047105,92047105,92047105,0,ECH,0,,,,0,ADMIN
BES,EN,21,222,200,92057139,1,92057139,BES,BES,,BES,92057139,92057139,92057139,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92067202,1,92067202,TAI,TAI,,TAI,92067202,92067202,92067202,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92077122,1,92077122,TAI,TAI,,TAI,92077122,92077122,92077122,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,92083775,1,92083775,GMO,GMO,,GMO,92083775,92083775,92083775,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92096293,1,92096293,TAI,TAI,,TAI,92096293,92096293,92096293,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92115771,1,92115771,TAI,TAI,,TAI,92115771,92115771,92115771,0,ECH,0,,,,0,ADMIN
BES,EN,21,222,200,92145756,1,92145756,BES,BES,,BES,92145756,92145756,92145756,0,ECH,0,,,,0,ADMIN
BES,EN,21,222,200,92147802,1,92147802,BES,BES,,BES,92147802,92147802,92147802,0,ECH,0,,,,0,ADMIN
BES,EN,21,222,200,92147971,1,BES92147971,BES,BES,,BES,BES92147971,BES92147971,BES92147971,0,ECH,0,,,,0,ADMIN
BES,EN,21,222,200,92147990,1,92147990,BES,BES,,BES,92147990,92147990,92147990,0,ECH,0,,,,0,ADMIN
BES,EN,21,222,200,92148168,1,92148168,BES,BES,,BES,92148168,92148168,92148168,0,ECH,0,,,,0,ADMIN
FCS,EN,21,222,200,92156802,1,92156802,FCS,FCS,,FCS,92156802,92156802,92156802,0,ECH,0,,,,0,ADMIN
AVN,EN,21,222,200,92157189,1,92157189,AVN,AVN,,AVN,92157189,92157189,92157189,0,ECH,0,,,,0,ADMIN
BES,EN,21,222,200,92158012,1,92158012,BES,BES,,BES,92158012,92158012,92158012,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,92159305,1,92159305,GMO,GMO,,GMO,92159305,92159305,92159305,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92159311,1,92159311,TAI,TAI,,TAI,92159311,92159311,92159311,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92159356,1,92159356,TAI,TAI,,TAI,92159356,92159356,92159356,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92159373,1,92159373,TAI,TAI,,TAI,92159373,92159373,92159373,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92159821,1,92159821,TAI,TAI,,TAI,92159821,92159821,92159821,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92159822,1,92159822,TAI,TAI,,TAI,92159822,92159822,92159822,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92161650,1,92161650,TAI,TAI,,TAI,92161650,92161650,92161650,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92161651,1,92161651,TAI,TAI,,TAI,92161651,92161651,92161651,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92161781,1,92161781,TAI,TAI,,TAI,92161781,92161781,92161781,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92162119,1,92162119,TAI,TAI,,TAI,92162119,92162119,92162119,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92165959,1,92165959,TAI,TAI,,TAI,92165959,92165959,92165959,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92171057,1,92171057,TAI,TAI,,TAI,92171057,92171057,92171057,0,ECH,0,,,,0,ADMIN
FCS,EN,21,222,200,92173959,1,92173959,FCS,FCS,,FCS,92173959,92173959,92173959,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92178287,1,92178287,TAI,TAI,,TAI,92178287,92178287,92178287,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92179162,1,92179162,TAI,TAI,,TAI,92179162,92179162,92179162,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92183970,1,92183970,TAI,TAI,,TAI,92183970,92183970,92183970,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92189411,1,92189411,TAI,TAI,,TAI,92189411,92189411,92189411,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92191917,1,92191917,TAI,TAI,,TAI,92191917,92191917,92191917,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92191938,1,92191938,TAI,TAI,,TAI,92191938,92191938,92191938,0,ECH,0,,,,0,ADMIN
FCS,EN,21,222,200,92193199,1,92193199,FCS,FCS,,FCS,92193199,92193199,92193199,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,92193864,1,92193864,GMO,GMO,,GMO,92193864,92193864,92193864,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,92201409,1,92201409,GMO,GMO,,GMO,92201409,92201409,92201409,0,ECH,0,,,,0,ADMIN
FCS,EN,21,222,200,92204529,1,92204529,FCS,FCS,,FCS,92204529,92204529,92204529,0,ECH,0,,,,0,ADMIN
WKG,EN,21,222,200,92218353,1,92218353,WKG,WKG,,WKG,92218353,92218353,92218353,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,92218392,1,92218392,TAI,TAI,,TAI,92218392,92218392,92218392,0,ECH,0,,,,0,ADMIN
BES,EN,21,222,200,92226211,1,92226211,BES,BES,,BES,92226211,92226211,92226211,0,ECH,0,,,,0,ADMIN
